id,path,family,published_class,source_id,core,completion_pair,lambda,method,rank5,pi0,pi1,symmetric
H001,published/H001.txt,published,1,H010,III,"(0, 4, 1)",J,"Paper construction; neater Lambda = J representative; border permutation (0, 1, 3, 4, 2, 5); no block negations",10,5950,13910,True
H002,published/H002.txt,published,2,H440,I,"(6, 6)",0,"Paper construction; border permutation (0, 1, 2, 3, 4, 5); no block negations",17,6965,12440,True
H003,published/H003.txt,published,3,H002,III,"(0, 4, -1)",-J,"Paper construction; border permutation (0, 1, 3, 4, 2, 5); negated Lambda",9,5940,13800,True
H004,published/H004.txt,published,4,H031,IIIn,"(0, 4, 1)",J,"Paper construction; border permutation (0, 1, 3, 4, 2, 5); negated the distinguished all-ones block of Sigma",11,6050,13110,True
H005,published/H005.txt,published,5,H013,IIIn,"(0, 4, -1)",-J,"Paper construction; border permutation (0, 1, 3, 4, 2, 5); negated Lambda and the distinguished all-ones block of Sigma",10,6040,13000,True
H006,published/H006.txt,published,6,H300,I,"(3, 6)",0,"Paper construction; border permutation (0, 1, 2, 3, 4, 5); negated the upper all-ones block of Psi",16,6910,12350,False
H007,published/H007.txt,published,7,H308,I,"(6, 3)",0,"Paper construction; border permutation (0, 1, 2, 3, 4, 5); negated the lower all-ones block of Phi",16,6925,12510,False
H008,published/H008.txt,published,8,H127,I,"(3, 3)",0,"Paper construction; border permutation (0, 1, 2, 3, 4, 5); negated the upper all-ones block of Psi and the lower all-ones block of Phi",15,6870,12420,True
H009,published/H009.txt,published,9,H001,IIIn,"(2, 2, -1)",-J,"Paper construction; border permutation (0, 1, 2, 3, 4, 5); negated Lambda and the distinguished all-ones block of Sigma",8,6850,12650,True
H010,published/H010.txt,published,10,H006,III,"(2, 2, -1)",-J,"Paper construction; border permutation (0, 1, 2, 3, 4, 5); negated Lambda",9,6750,13450,True
H011,published/H011.txt,published,11,H007,IIIn,"(2, 2, 1)",J,"Paper construction; border permutation (0, 1, 2, 3, 4, 5); negated the distinguished all-ones block of Sigma",9,7000,12300,True
H012,published/H012.txt,published,12,H009,III,"(0, 1, -1)",J,"Paper construction; border permutation (0, 1, 2, 4, 3, 5); no block negations",10,5940,13770,True
H013,published/H013.txt,published,13,H011,III,"(0, 0, 1)",J,"Paper construction; border permutation (0, 1, 3, 2, 4, 5); no block negations",10,5955,13895,True
H014,published/H014.txt,published,14,H012,IIIn,"(0, 0, -1)",-J,"Paper construction; border permutation (0, 1, 3, 2, 4, 5); negated Lambda and the distinguished all-ones block of Sigma",10,6035,13015,True
H015,published/H015.txt,published,15,H014,IIIn,"(0, 1, 1)",-J,"Paper construction; border permutation (0, 1, 2, 4, 3, 5); negated Lambda and the distinguished all-ones block of Sigma",10,6050,13140,True
H016,published/H016.txt,published,16,H025,III,"(2, 2, 1)",J,"Paper construction; border permutation (0, 1, 2, 3, 4, 5); no block negations",10,6900,13100,True
H017,published/H017.txt,published,17,H028,III,"(0, 0, -1)",-J,"Paper construction; border permutation (0, 1, 3, 2, 4, 5); negated Lambda",11,5935,13815,True
H018,published/H018.txt,published,18,H029,III,"(0, 1, 1)",-J,"Paper construction; border permutation (0, 1, 2, 4, 3, 5); negated Lambda",11,5950,13940,True
H019,published/H019.txt,published,19,H030,IIIn,"(0, 1, -1)",J,"Paper construction; border permutation (0, 1, 2, 4, 3, 5); negated the distinguished all-ones block of Sigma",11,6040,12970,True
H020,published/H020.txt,published,20,H032,IIIn,"(0, 0, 1)",J,"Paper construction; border permutation (0, 1, 3, 2, 4, 5); negated the distinguished all-ones block of Sigma",11,6055,13095,True
H021,published/H021.txt,published,21,H043,I,"(2, 2)",0,"Paper construction; border permutation (0, 1, 3, 4, 2, 5); no block negations",13,6975,12615,True
H022,published/H022.txt,published,22,H057,I,"(11, 2)",0,"Paper construction; border permutation (0, 1, 3, 4, 2, 5); negated the upper all-ones block of Psi",14,6900,12675,False
H023,published/H023.txt,published,23,H071,I,"(2, 11)",0,"Paper construction; border permutation (0, 1, 3, 4, 2, 5); negated the lower all-ones block of Phi",14,7045,12565,False
H024,published/H024.txt,published,24,H111,I,"(7, 7)",0,"Paper construction; border permutation (0, 1, 2, 3, 5, 4); no block negations",15,6830,12670,True
H025,published/H025.txt,published,25,H147,I,"(0, 0)",0,"Paper construction; border permutation (0, 1, 3, 2, 4, 5); no block negations",15,6920,12360,True
H026,published/H026.txt,published,26,H163,I,"(11, 11)",0,"Paper construction; border permutation (0, 1, 2, 5, 4, 3); no block negations",15,6970,12625,True
H027,published/H027.txt,published,27,H175,I,"(4, 4)",0,"Paper construction; border permutation (0, 1, 3, 4, 5, 2); no block negations",15,6995,12505,True
H028,published/H028.txt,published,28,H191,I,"(8, 8)",0,"Paper construction; border permutation (0, 1, 2, 4, 3, 5); no block negations",15,7045,12510,True
H029,published/H029.txt,published,29,H230,I,"(10, 0)",0,"Paper construction; border permutation (0, 1, 3, 2, 4, 5); negated the upper all-ones block of Psi",16,6735,12400,False
H030,published/H030.txt,published,30,H253,I,"(1, 8)",0,"Paper construction; border permutation (0, 1, 2, 4, 3, 5); negated the upper all-ones block of Psi",16,6820,12490,False
H031,published/H031.txt,published,31,H261,I,"(5, 7)",0,"Paper construction; border permutation (0, 1, 2, 3, 5, 4); negated the upper all-ones block of Psi",16,6845,12650,False
H032,published/H032.txt,published,32,H319,I,"(0, 10)",0,"Paper construction; border permutation (0, 1, 3, 2, 4, 5); negated the lower all-ones block of Phi",16,6965,12385,False
H033,published/H033.txt,published,33,H342,I,"(8, 1)",0,"Paper construction; border permutation (0, 1, 2, 4, 3, 5); negated the lower all-ones block of Phi",16,6995,12625,False
H034,published/H034.txt,published,34,H350,I,"(7, 5)",0,"Paper construction; border permutation (0, 1, 2, 3, 5, 4); negated the lower all-ones block of Phi",16,7015,12735,False
H035,published/H035.txt,published,35,H397,I,"(9, 4)",0,"Paper construction; border permutation (0, 1, 3, 4, 5, 2); negated the upper all-ones block of Psi",16,7260,12475,False
H036,published/H036.txt,published,36,H406,I,"(1, 1)",0,"Paper construction; border permutation (0, 1, 3, 2, 5, 4); no block negations",17,6770,12605,True
H037,published/H037.txt,published,37,H408,I,"(10, 10)",0,"Paper construction; border permutation (0, 1, 2, 4, 5, 3); no block negations",17,6780,12425,True
H038,published/H038.txt,published,38,H454,I,"(5, 5)",0,"Paper construction; border permutation (0, 1, 3, 5, 4, 2); no block negations",17,7030,12715,True
H039,published/H039.txt,published,39,H467,I,"(9, 9)",0,"Paper construction; border permutation (0, 1, 2, 5, 3, 4); no block negations",17,7110,12290,True
H040,published/H040.txt,published,40,H259,I,"(4, 9)",0,"Paper construction; border permutation (0, 1, 3, 4, 5, 2); negated the lower all-ones block of Phi",16,6845,12320,False
H041,published/H041.txt,published,41,H455,II,"(6, 6)",0,"Separate CP-SAT construction; border permutation (0, 1, 2, 3, 4, 5); no block negations",17,7030,12780,True
H042,completions/H042.txt,completion,n/a,H003,VII,"(0, 3)",0,"Completion pair (0, 3) on core VII",9,6220,13400,False
H043,completions/H043.txt,completion,n/a,H004,IIIn,"(2, 0, -1)",signed rank-one (J-equivalent),"Completion pair (2, 0, -1) on core IIIn",9,6390,13070,False
H044,completions/H044.txt,completion,n/a,H005,IIIn,"(0, 2, -1)",signed rank-one (J-equivalent),"Completion pair (0, 2, -1) on core IIIn",9,6550,12530,False
H045,completions/H045.txt,completion,n/a,H008,VII,"(2, 2)",0,"Completion pair (2, 2) on core VII",9,7300,12700,True
H046,completions/H046.txt,completion,n/a,H015,VII,"(0, 1)",0,"Completion pair (0, 1) on core VII",10,6220,13400,False
H047,completions/H047.txt,completion,n/a,H016,VII,"(0, 10)",0,"Completion pair (0, 10) on core VII",10,6220,13400,False
H048,completions/H048.txt,completion,n/a,H017,VII,"(0, 5)",0,"Completion pair (0, 5) on core VII",10,6220,13400,False
H049,completions/H049.txt,completion,n/a,H018,VII,"(0, 6)",0,"Completion pair (0, 6) on core VII",10,6220,13400,False
H050,completions/H050.txt,completion,n/a,H019,VII,"(0, 9)",0,"Completion pair (0, 9) on core VII",10,6220,13400,False
H051,completions/H051.txt,completion,n/a,H020,III,"(2, 0, -1)",signed rank-one (J-equivalent),"Completion pair (2, 0, -1) on core III",10,6290,13870,False
H052,completions/H052.txt,completion,n/a,H021,IIIn,"(2, 0, 1)",signed rank-one (J-equivalent),"Completion pair (2, 0, 1) on core IIIn",10,6420,13000,False
H053,completions/H053.txt,completion,n/a,H022,III,"(0, 2, -1)",signed rank-one (J-equivalent),"Completion pair (0, 2, -1) on core III",10,6450,13330,False
H054,completions/H054.txt,completion,n/a,H023,IIIn,"(0, 2, 1)",signed rank-one (J-equivalent),"Completion pair (0, 2, 1) on core IIIn",10,6580,12460,False
H055,completions/H055.txt,completion,n/a,H024,VII,"(2, 0)",0,"Completion pair (2, 0) on core VII",10,6580,13380,False
H056,completions/H056.txt,completion,n/a,H026,VII,"(0, 2)",0,"Completion pair (0, 2) on core VII",10,6940,12720,False
H057,completions/H057.txt,completion,n/a,H027,VII,"(2, 11)",0,"Completion pair (2, 11) on core VII",10,7300,12700,False
H058,completions/H058.txt,completion,n/a,H033,VII,"(0, 0)",0,"Completion pair (0, 0) on core VII",11,6220,13400,True
H059,completions/H059.txt,completion,n/a,H034,VII,"(0, 4)",0,"Completion pair (0, 4) on core VII",11,6220,13400,False
H060,completions/H060.txt,completion,n/a,H035,VII,"(0, 7)",0,"Completion pair (0, 7) on core VII",11,6220,13400,False
H061,completions/H061.txt,completion,n/a,H036,VII,"(0, 8)",0,"Completion pair (0, 8) on core VII",11,6220,13400,False
H062,completions/H062.txt,completion,n/a,H037,III,"(2, 0, 1)",signed rank-one (J-equivalent),"Completion pair (2, 0, 1) on core III",11,6320,13800,False
H063,completions/H063.txt,completion,n/a,H038,III,"(0, 2, 1)",signed rank-one (J-equivalent),"Completion pair (0, 2, 1) on core III",11,6480,13260,False
H064,completions/H064.txt,completion,n/a,H039,VII,"(2, 1)",0,"Completion pair (2, 1) on core VII",11,6580,13380,False
H065,completions/H065.txt,completion,n/a,H040,VII,"(0, 11)",0,"Completion pair (0, 11) on core VII",11,6940,12720,False
H066,completions/H066.txt,completion,n/a,H041,IX,"(7, 7)",0,"Completion pair (7, 7) on core IX",13,6840,13040,True
H067,completions/H067.txt,completion,n/a,H042,II,"(2, 2)",0,"Completion pair (2, 2) on core II",13,6970,12575,True
H068,completions/H068.txt,completion,n/a,H044,IX,"(10, 7)",0,"Completion pair (10, 7) on core IX",14,6710,13195,False
H069,completions/H069.txt,completion,n/a,H045,IX,"(1, 7)",0,"Completion pair (1, 7) on core IX",14,6740,13115,False
H070,completions/H070.txt,completion,n/a,H046,IX,"(5, 7)",0,"Completion pair (5, 7) on core IX",14,6760,13045,False
H071,completions/H071.txt,completion,n/a,H047,IX,"(9, 7)",0,"Completion pair (9, 7) on core IX",14,6785,13020,False
H072,completions/H072.txt,completion,n/a,H048,IX,"(6, 7)",0,"Completion pair (6, 7) on core IX",14,6790,12805,False
H073,completions/H073.txt,completion,n/a,H049,IX,"(7, 1)",0,"Completion pair (7, 1) on core IX",14,6815,13000,False
H074,completions/H074.txt,completion,n/a,H050,I,"(4, 2)",0,"Completion pair (4, 2) on core I",14,6825,12555,False
H075,completions/H075.txt,completion,n/a,H051,I,"(2, 7)",0,"Completion pair (2, 7) on core I",14,6855,12530,False
H076,completions/H076.txt,completion,n/a,H052,IX,"(7, 5)",0,"Completion pair (7, 5) on core IX",14,6855,13015,False
H077,completions/H077.txt,completion,n/a,H053,I,"(2, 0)",0,"Completion pair (2, 0) on core I",14,6875,12525,False
H078,completions/H078.txt,completion,n/a,H054,IX,"(7, 9)",0,"Completion pair (7, 9) on core IX",14,6875,12945,False
H079,completions/H079.txt,completion,n/a,H055,IX,"(2, 7)",0,"Completion pair (2, 7) on core IX",14,6875,13115,False
H080,completions/H080.txt,completion,n/a,H056,II,"(2, 4)",0,"Completion pair (2, 4) on core II",14,6890,12695,False
H081,completions/H081.txt,completion,n/a,H058,II,"(3, 2)",0,"Completion pair (3, 2) on core II",14,6905,12640,False
H082,completions/H082.txt,completion,n/a,H059,II,"(2, 8)",0,"Completion pair (2, 8) on core II",14,6910,12720,False
H083,completions/H083.txt,completion,n/a,H060,IX,"(7, 2)",0,"Completion pair (7, 2) on core IX",14,6910,12885,False
H084,completions/H084.txt,completion,n/a,H061,II,"(0, 2)",0,"Completion pair (0, 2) on core II",14,6915,12620,False
H085,completions/H085.txt,completion,n/a,H062,I,"(2, 3)",0,"Completion pair (2, 3) on core I",14,6920,12525,False
H086,completions/H086.txt,completion,n/a,H063,I,"(3, 2)",0,"Completion pair (3, 2) on core I",14,6925,12510,False
H087,completions/H087.txt,completion,n/a,H064,II,"(2, 3)",0,"Completion pair (2, 3) on core II",14,6935,12495,False
H088,completions/H088.txt,completion,n/a,H065,II,"(2, 11)",0,"Completion pair (2, 11) on core II",14,6940,12625,False
H089,completions/H089.txt,completion,n/a,H066,II,"(11, 2)",0,"Completion pair (11, 2) on core II",14,6945,12685,False
H090,completions/H090.txt,completion,n/a,H067,I,"(7, 2)",0,"Completion pair (7, 2) on core I",14,6950,12755,False
H091,completions/H091.txt,completion,n/a,H068,IX,"(7, 6)",0,"Completion pair (7, 6) on core IX",14,6950,12830,False
H092,completions/H092.txt,completion,n/a,H069,I,"(2, 8)",0,"Completion pair (2, 8) on core I",14,6975,12490,False
H093,completions/H093.txt,completion,n/a,H070,I,"(0, 2)",0,"Completion pair (0, 2) on core I",14,7020,12450,False
H094,completions/H094.txt,completion,n/a,H072,I,"(8, 2)",0,"Completion pair (8, 2) on core I",14,7045,12635,False
H095,completions/H095.txt,completion,n/a,H073,II,"(8, 2)",0,"Completion pair (8, 2) on core II",14,7050,12750,False
H096,completions/H096.txt,completion,n/a,H074,II,"(2, 7)",0,"Completion pair (2, 7) on core II",14,7055,12565,False
H097,completions/H097.txt,completion,n/a,H075,IX,"(7, 10)",0,"Completion pair (7, 10) on core IX",14,7070,12855,False
H098,completions/H098.txt,completion,n/a,H076,II,"(4, 2)",0,"Completion pair (4, 2) on core II",14,7080,12675,False
H099,completions/H099.txt,completion,n/a,H077,II,"(7, 2)",0,"Completion pair (7, 2) on core II",14,7090,12480,False
H100,completions/H100.txt,completion,n/a,H078,II,"(2, 0)",0,"Completion pair (2, 0) on core II",14,7125,12540,False
H101,completions/H101.txt,completion,n/a,H079,I,"(2, 4)",0,"Completion pair (2, 4) on core I",14,7145,12565,False
H102,completions/H102.txt,completion,n/a,H080,IX,"(3, 7)",0,"Completion pair (3, 7) on core IX",15,6660,13100,False
H103,completions/H103.txt,completion,n/a,H081,IX,"(10, 1)",0,"Completion pair (10, 1) on core IX",15,6685,13155,False
H104,completions/H104.txt,completion,n/a,H082,IX,"(11, 7)",0,"Completion pair (11, 7) on core IX",15,6695,13050,False
H105,completions/H105.txt,completion,n/a,H083,I,"(4, 7)",0,"Completion pair (4, 7) on core I",15,6705,12470,False
H106,completions/H106.txt,completion,n/a,H084,IX,"(1, 1)",0,"Completion pair (1, 1) on core IX",15,6715,13075,True
H107,completions/H107.txt,completion,n/a,H085,I,"(4, 0)",0,"Completion pair (4, 0) on core I",15,6725,12465,False
H108,completions/H108.txt,completion,n/a,H086,IX,"(10, 5)",0,"Completion pair (10, 5) on core IX",15,6725,13170,False
H109,completions/H109.txt,completion,n/a,H087,IX,"(5, 1)",0,"Completion pair (5, 1) on core IX",15,6735,13005,False
H110,completions/H110.txt,completion,n/a,H088,IX,"(10, 9)",0,"Completion pair (10, 9) on core IX",15,6745,13100,False
H111,completions/H111.txt,completion,n/a,H089,IX,"(1, 5)",0,"Completion pair (1, 5) on core IX",15,6755,13090,False
H112,completions/H112.txt,completion,n/a,H090,IX,"(9, 1)",0,"Completion pair (9, 1) on core IX",15,6760,12980,False
H113,completions/H113.txt,completion,n/a,H091,IX,"(8, 7)",0,"Completion pair (8, 7) on core IX",15,6760,13120,False
H114,completions/H114.txt,completion,n/a,H092,IX,"(6, 1)",0,"Completion pair (6, 1) on core IX",15,6765,12765,False
H115,completions/H115.txt,completion,n/a,H093,I,"(4, 3)",0,"Completion pair (4, 3) on core I",15,6770,12465,False
H116,completions/H116.txt,completion,n/a,H094,IX,"(1, 9)",0,"Completion pair (1, 9) on core IX",15,6775,13020,False
H117,completions/H117.txt,completion,n/a,H095,IX,"(5, 5)",0,"Completion pair (5, 5) on core IX",15,6775,13020,True
H118,completions/H118.txt,completion,n/a,H096,I,"(11, 7)",0,"Completion pair (11, 7) on core I",15,6780,12590,False
H119,completions/H119.txt,completion,n/a,H097,IX,"(10, 2)",0,"Completion pair (10, 2) on core IX",15,6780,13040,False
H120,completions/H120.txt,completion,n/a,H098,IX,"(5, 9)",0,"Completion pair (5, 9) on core IX",15,6795,12950,False
H121,completions/H121.txt,completion,n/a,H099,I,"(11, 0)",0,"Completion pair (11, 0) on core I",15,6800,12585,False
H122,completions/H122.txt,completion,n/a,H100,IX,"(9, 5)",0,"Completion pair (9, 5) on core IX",15,6800,12995,False
H123,completions/H123.txt,completion,n/a,H101,I,"(3, 7)",0,"Completion pair (3, 7) on core I",15,6805,12425,False
H124,completions/H124.txt,completion,n/a,H102,IX,"(6, 5)",0,"Completion pair (6, 5) on core IX",15,6805,12780,False
H125,completions/H125.txt,completion,n/a,H103,IX,"(1, 2)",0,"Completion pair (1, 2) on core IX",15,6810,12960,False
H126,completions/H126.txt,completion,n/a,H104,I,"(1, 2)",0,"Completion pair (1, 2) on core I",15,6820,12615,False
H127,completions/H127.txt,completion,n/a,H105,IX,"(9, 9)",0,"Completion pair (9, 9) on core IX",15,6820,12925,True
H128,completions/H128.txt,completion,n/a,H106,IX,"(10, 6)",0,"Completion pair (10, 6) on core IX",15,6820,12985,False
H129,completions/H129.txt,completion,n/a,H107,I,"(3, 0)",0,"Completion pair (3, 0) on core I",15,6825,12420,False
H130,completions/H130.txt,completion,n/a,H108,I,"(4, 8)",0,"Completion pair (4, 8) on core I",15,6825,12430,False
H131,completions/H131.txt,completion,n/a,H109,IX,"(6, 9)",0,"Completion pair (6, 9) on core IX",15,6825,12710,False
H132,completions/H132.txt,completion,n/a,H110,II,"(3, 4)",0,"Completion pair (3, 4) on core II",15,6825,12760,False
H133,completions/H133.txt,completion,n/a,H112,IX,"(5, 2)",0,"Completion pair (5, 2) on core IX",15,6830,12890,False
H134,completions/H134.txt,completion,n/a,H113,IX,"(0, 7)",0,"Completion pair (0, 7) on core IX",15,6830,13030,False
H135,completions/H135.txt,completion,n/a,H114,I,"(10, 2)",0,"Completion pair (10, 2) on core I",15,6835,12490,False
H136,completions/H136.txt,completion,n/a,H115,II,"(0, 4)",0,"Completion pair (0, 4) on core II",15,6835,12740,False
H137,completions/H137.txt,completion,n/a,H116,IX,"(7, 8)",0,"Completion pair (7, 8) on core IX",15,6835,12805,False
H138,completions/H138.txt,completion,n/a,H117,I,"(11, 3)",0,"Completion pair (11, 3) on core I",15,6845,12585,False
H139,completions/H139.txt,completion,n/a,H118,II,"(3, 8)",0,"Completion pair (3, 8) on core II",15,6845,12785,False
